branch_office,center_name,center_type,area_symbol,address,city,district
tn,KUMON大林中興民權教室,E,622,嘉義縣大林鎮平林里中興路282-25號1樓,嘉義縣,大林鎮
ty,KUMON中壢成都衡陽教室,21A,320,桃園市中壢區成都路54號1樓,桃園市,中壢區
tp,KUMON淡水新市一路教室,C,251,新北市淡水區新市一路二段252號1樓,新北市,淡水區
ty,KUMON八德福僑教室,19A,334,桃園市八德區福僑街81號1樓,桃園市,八德區
kh,KUMON潮州公園中正教室,E,920,屏東縣潮州鎮公園路36號1樓,屏東縣,潮州鎮
tn,KUMON北區海安北成教室,21A,704,台南市北區海安路三段902號1樓,台南市,北區
ty,KUMON蘆竹大興14街教室,D,338,桃園市蘆竹區大興十四街129號1樓,桃園市,蘆竹區
tc,KUMON大雅學府教室,C,428,台中市大雅區學府路250巷97弄38號1樓,台中市,大雅區
tn,KUMON斗六天祥鎮東教室,B,640,雲林縣斗六市天祥街77號1樓,雲林縣,斗六市
kh,KUMON三民澄平教室,B,807,高雄市三民區澄平街256號1樓,高雄市,三民區
